strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
815.0,30,0.01,0.2500075,0.3,0.0,0.0,0.0,561.02,1
820.0,30,0.01,0.2500075,0.3,0.0,0.0,0.0,561.02,1
825.0,30,0.01,0.4062559375,0.3,0.0,0.0,0.0,561.02,1
830.0,30,0.01,0.2500075,0.3,0.0,0.0,0.0,561.02,1
260.0,30,0.02,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
265.0,30,0.02,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
270.0,30,0.02,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
275.0,30,0.03,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
280.0,30,0.03,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
285.0,30,0.04,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
290.0,30,0.03,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
295.0,30,0.04,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
300.0,30,0.04,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
305.0,30,0.05,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
310.0,30,0.05,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
315.0,30,0.05,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
320.0,30,0.05,0.500005,-0.3,0.0,0.0,0.0,561.02,-1
325.0,30,0.06,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
330.0,30,0.06,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
335.0,30,0.09,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
340.0,30,0.07,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
345.0,30,0.08,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
350.0,30,0.1,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
355.0,30,0.1,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
360.0,30,0.1,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
365.0,30,0.11,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
370.0,30,0.13,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
375.0,30,0.15,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
380.0,30,0.15,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
385.0,30,0.16,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
390.0,30,0.17,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
